WBHP;Time;Time[d]
40.7087;2021-12-31;0.0
41.5786;2022-01-01;1.0
95.0885;2022-01-02;2.0
99.3189;2022-01-02;2.0
94.6877;2022-01-03;3.0
88.0509;2022-01-03;3.0
83.5346;2022-01-05;5.0
80.1343;2022-01-07;7.0
78.123;2022-01-09;9.0
76.7519;2022-01-11;11.0
75.7703;2022-01-13;13.0
75.0377;2022-01-15;15.0
74.482;2022-01-17;17.0
74.0372;2022-01-19;19.0
73.6625;2022-01-21;21.0
73.626;2022-01-21;21.0
73.5803;2022-01-21;21.0
73.5096;2022-01-21;21.0
73.409;2022-01-22;22.0
73.3103;2022-01-23;23.0
73.1513;2022-01-24;24.0
73.0026;2022-01-25;25.0
72.7488;2022-01-27;27.0
72.5252;2022-01-29;29.0
72.4211;2022-01-30;30.0
72.3255;2022-01-31;31.0
72.1616;2022-02-02;33.0
72.0182;2022-02-04;35.0
71.8868;2022-02-06;37.0
71.7598;2022-02-08;39.0
71.6388;2022-02-10;41.0
71.5255;2022-02-12;43.0
71.4199;2022-02-14;45.0
71.322;2022-02-16;47.0
71.3123;2022-02-16;47.0
71.3002;2022-02-16;47.0
71.2813;2022-02-16;47.0
71.2539;2022-02-17;48.0
71.2273;2022-02-18;49.0
71.1842;2022-02-19;50.0
71.1433;2022-02-20;51.0
71.0706;2022-02-22;53.0
71.0035;2022-02-24;55.0
70.9404;2022-02-26;57.0
70.8794;2022-02-28;59.0
70.82;2022-03-02;61.0
70.7615;2022-03-04;63.0
70.705;2022-03-06;65.0
70.6508;2022-03-08;67.0
70.5997;2022-03-10;69.0
70.5518;2022-03-12;71.0
70.5069;2022-03-14;73.0
70.4651;2022-03-16;75.0
70.427;2022-03-18;77.0
70.391;2022-03-20;79.0
70.3565;2022-03-22;81.0
70.3233;2022-03-24;83.0
70.2917;2022-03-26;85.0
70.261;2022-03-28;87.0
70.2307;2022-03-30;89.0
70.2018;2022-04-01;91.0
70.1741;2022-04-03;93.0
70.1474;2022-04-05;95.0
70.1219;2022-04-07;97.0
70.0974;2022-04-09;99.0
70.0738;2022-04-11;101.0
70.0516;2022-04-13;103.0
70.0306;2022-04-15;105.0
70.0108;2022-04-17;107.0
69.992;2022-04-19;109.0
69.974;2022-04-21;111.0
69.9564;2022-04-23;113.0
69.9398;2022-04-25;115.0
69.9235;2022-04-27;117.0
69.9077;2022-04-29;119.0
69.8924;2022-05-01;121.0
69.8778;2022-05-03;123.0
69.8638;2022-05-05;125.0
69.8506;2022-05-07;127.0
69.8381;2022-05-09;129.0
69.8262;2022-05-11;131.0
69.8151;2022-05-13;133.0
69.8048;2022-05-15;135.0
69.7952;2022-05-17;137.0
69.7864;2022-05-19;139.0
69.7781;2022-05-21;141.0
69.7701;2022-05-23;143.0
69.7624;2022-05-25;145.0
69.7552;2022-05-27;147.0
69.7483;2022-05-29;149.0
69.7415;2022-05-31;151.0
69.735;2022-06-02;153.0
69.7286;2022-06-04;155.0
69.7226;2022-06-06;157.0
69.7169;2022-06-08;159.0
69.7115;2022-06-10;161.0
69.7065;2022-06-12;163.0
69.7019;2022-06-14;165.0
69.6977;2022-06-16;167.0
69.6937;2022-06-18;169.0
69.69;2022-06-20;171.0
69.6867;2022-06-22;173.0
69.6837;2022-06-24;175.0
69.6811;2022-06-26;177.0
69.6788;2022-06-28;179.0
69.6768;2022-06-30;181.0
69.6751;2022-07-02;183.0
69.6739;2022-07-04;185.0
69.6728;2022-07-06;187.0
69.6722;2022-07-08;189.0
69.6719;2022-07-10;191.0
69.6718;2022-07-12;193.0
69.6719;2022-07-14;195.0
69.6722;2022-07-16;197.0
69.6726;2022-07-18;199.0
69.673;2022-07-20;201.0
69.6737;2022-07-22;203.0
69.6746;2022-07-24;205.0
69.6757;2022-07-26;207.0
69.6769;2022-07-28;209.0
69.6783;2022-07-30;211.0
69.6798;2022-08-01;213.0
69.6815;2022-08-03;215.0
69.6834;2022-08-05;217.0
69.6855;2022-08-07;219.0
69.6877;2022-08-09;221.0
69.6901;2022-08-11;223.0
69.6927;2022-08-13;225.0
69.6956;2022-08-15;227.0
69.6985;2022-08-17;229.0
69.7017;2022-08-19;231.0
69.7051;2022-08-21;233.0
69.7086;2022-08-23;235.0
69.7121;2022-08-25;237.0
69.7157;2022-08-27;239.0
69.7195;2022-08-29;241.0
69.7234;2022-08-31;243.0
69.7274;2022-09-02;245.0
69.7315;2022-09-04;247.0
69.7358;2022-09-06;249.0
69.7402;2022-09-08;251.0
69.7448;2022-09-10;253.0
69.7495;2022-09-12;255.0
69.7543;2022-09-14;257.0
69.7593;2022-09-16;259.0
69.7645;2022-09-18;261.0
69.7697;2022-09-20;263.0
69.7751;2022-09-22;265.0
69.7805;2022-09-24;267.0
69.7861;2022-09-26;269.0
69.7918;2022-09-28;271.0
69.7976;2022-09-30;273.0
69.8033;2022-10-02;275.0
69.8091;2022-10-04;277.0
69.815;2022-10-06;279.0
69.821;2022-10-08;281.0
69.8272;2022-10-10;283.0
69.8334;2022-10-12;285.0
69.8397;2022-10-14;287.0
69.8461;2022-10-16;289.0
69.8526;2022-10-18;291.0
69.8592;2022-10-20;293.0
69.8658;2022-10-22;295.0
69.8725;2022-10-24;297.0
69.8793;2022-10-26;299.0
69.8862;2022-10-28;301.0
69.8931;2022-10-30;303.0
69.9001;2022-11-01;305.0
69.9072;2022-11-03;307.0
69.9144;2022-11-05;309.0
