DEPTH;RV;TIME_INDEX;DATES
473.0;1.0;0;01.Jan.2022
473.5;1.0;0;01.Jan.2022
474.0;1.0;0;01.Jan.2022
474.5;1.0;0;01.Jan.2022
475.0;1.0;0;01.Jan.2022
475.5;1.0;0;01.Jan.2022
476.0;1.0;0;01.Jan.2022
476.5;1.0;0;01.Jan.2022
477.0;1.0;0;01.Jan.2022
477.5;1.0;0;01.Jan.2022
478.0;1.0;0;01.Jan.2022
478.5;1.0;0;01.Jan.2022
479.0;1.0;0;01.Jan.2022
479.5;1.0;0;01.Jan.2022
480.0;1.0;0;01.Jan.2022
480.5;1.0;0;01.Jan.2022
481.0;1.0;0;01.Jan.2022
481.5;1.0;0;01.Jan.2022
482.0;1.0;0;01.Jan.2022
482.5;1.0;0;01.Jan.2022
483.0;1.0;0;01.Jan.2022
483.5;1.0;0;01.Jan.2022
484.0;1.0;0;01.Jan.2022
484.5;1.0;0;01.Jan.2022
485.0;1.0;0;01.Jan.2022
485.5;1.0;0;01.Jan.2022
486.0;1.0;0;01.Jan.2022
486.5;1.0;0;01.Jan.2022
487.0;1.0;0;01.Jan.2022
487.5;1.0;0;01.Jan.2022
488.0;1.0;0;01.Jan.2022
488.5;1.0;0;01.Jan.2022
489.0;1.0;0;01.Jan.2022
489.5;1.0;0;01.Jan.2022
490.0;1.0;0;01.Jan.2022
490.5;1.0;0;01.Jan.2022
491.0;1.0;0;01.Jan.2022
491.5;1.0;0;01.Jan.2022
492.0;1.0;0;01.Jan.2022
492.5;1.0;0;01.Jan.2022
493.0;1.0;0;01.Jan.2022
493.5;1.0;0;01.Jan.2022
494.0;1.0;0;01.Jan.2022
494.5;1.0;0;01.Jan.2022
495.0;1.0;0;01.Jan.2022
495.5;1.0;0;01.Jan.2022
496.0;1.0;0;01.Jan.2022
496.5;1.0;0;01.Jan.2022
497.0;1.0;0;01.Jan.2022
497.5;1.0;0;01.Jan.2022
498.0;1.0;0;01.Jan.2022
498.5;1.0;0;01.Jan.2022
499.0;1.0;0;01.Jan.2022
499.5;1.0;0;01.Jan.2022
400.0;0.0;1;04.Jan.2022
400.5;0.0;1;04.Jan.2022
401.0;0.0;1;04.Jan.2022
401.5;0.0;1;04.Jan.2022
402.0;0.0;1;04.Jan.2022
402.5;0.0;1;04.Jan.2022
403.0;0.0;1;04.Jan.2022
403.5;0.0;1;04.Jan.2022
404.0;0.0;1;04.Jan.2022
404.5;0.0;1;04.Jan.2022
405.0;0.0;1;04.Jan.2022
405.5;0.0;1;04.Jan.2022
406.0;0.0;1;04.Jan.2022
406.5;0.0;1;04.Jan.2022
407.0;0.0;1;04.Jan.2022
407.5;0.0;1;04.Jan.2022
408.0;0.0;1;04.Jan.2022
408.5;0.0;1;04.Jan.2022
409.0;1e-05;1;04.Jan.2022
409.5;1e-05;1;04.Jan.2022
410.0;1e-05;1;04.Jan.2022
410.5;1e-05;1;04.Jan.2022
411.0;1e-05;1;04.Jan.2022
411.5;1e-05;1;04.Jan.2022
412.0;1e-05;1;04.Jan.2022
412.5;2e-05;1;04.Jan.2022
413.0;2e-05;1;04.Jan.2022
413.5;2e-05;1;04.Jan.2022
414.0;2e-05;1;04.Jan.2022
414.5;3e-05;1;04.Jan.2022
415.0;3e-05;1;04.Jan.2022
415.5;4e-05;1;04.Jan.2022
416.0;5e-05;1;04.Jan.2022
416.5;5e-05;1;04.Jan.2022
417.0;6e-05;1;04.Jan.2022
417.5;7e-05;1;04.Jan.2022
418.0;8e-05;1;04.Jan.2022
418.5;0.0001;1;04.Jan.2022
419.0;0.00011;1;04.Jan.2022
419.5;0.00013;1;04.Jan.2022
420.0;0.00015;1;04.Jan.2022
420.5;0.00018;1;04.Jan.2022
421.0;0.00021;1;04.Jan.2022
421.5;0.00024;1;04.Jan.2022
422.0;0.00028;1;04.Jan.2022
422.5;0.00032;1;04.Jan.2022
423.0;0.00038;1;04.Jan.2022
423.5;0.00044;1;04.Jan.2022
424.0;0.00051;1;04.Jan.2022
424.5;0.00059;1;04.Jan.2022
425.0;0.00069;1;04.Jan.2022
425.5;0.0008;1;04.Jan.2022
426.0;0.00093;1;04.Jan.2022
426.5;0.00108;1;04.Jan.2022
427.0;0.00126;1;04.Jan.2022
427.5;0.00146;1;04.Jan.2022
428.0;0.0017;1;04.Jan.2022
428.5;0.00197;1;04.Jan.2022
429.0;0.00229;1;04.Jan.2022
429.5;0.00265;1;04.Jan.2022
430.0;0.00308;1;04.Jan.2022
430.5;0.00357;1;04.Jan.2022
431.0;0.00414;1;04.Jan.2022
431.5;0.0048;1;04.Jan.2022
432.0;0.00556;1;04.Jan.2022
432.5;0.00644;1;04.Jan.2022
433.0;0.00746;1;04.Jan.2022
433.5;0.00863;1;04.Jan.2022
434.0;0.00999;1;04.Jan.2022
434.5;0.01155;1;04.Jan.2022
435.0;0.01334;1;04.Jan.2022
435.5;0.01541;1;04.Jan.2022
436.0;0.01779;1;04.Jan.2022
436.5;0.02053;1;04.Jan.2022
437.0;0.02366;1;04.Jan.2022
437.5;0.02726;1;04.Jan.2022
438.0;0.03138;1;04.Jan.2022
438.5;0.03608;1;04.Jan.2022
439.0;0.04145;1;04.Jan.2022
439.5;0.04758;1;04.Jan.2022
440.0;0.05454;1;04.Jan.2022
440.5;0.06245;1;04.Jan.2022
441.0;0.07141;1;04.Jan.2022
441.5;0.08154;1;04.Jan.2022
442.0;0.09295;1;04.Jan.2022
442.5;0.10579;1;04.Jan.2022
443.0;0.12017;1;04.Jan.2022
443.5;0.13624;1;04.Jan.2022
444.0;0.1541;1;04.Jan.2022
444.5;0.17389;1;04.Jan.2022
445.0;0.19571;1;04.Jan.2022
445.5;0.21962;1;04.Jan.2022
446.0;0.24568;1;04.Jan.2022
446.5;0.2739;1;04.Jan.2022
447.0;0.30421;1;04.Jan.2022
447.5;0.33651;1;04.Jan.2022
448.0;0.37061;1;04.Jan.2022
448.5;0.40624;1;04.Jan.2022
449.0;0.44304;1;04.Jan.2022
449.5;0.48059;1;04.Jan.2022
450.0;0.51841;1;04.Jan.2022
450.5;0.556;1;04.Jan.2022
451.0;0.59287;1;04.Jan.2022
451.5;0.62858;1;04.Jan.2022
452.0;0.66279;1;04.Jan.2022
452.5;0.6952;1;04.Jan.2022
453.0;0.72562;1;04.Jan.2022
453.5;0.75394;1;04.Jan.2022
454.0;0.7801;1;04.Jan.2022
454.5;0.80409;1;04.Jan.2022
455.0;0.82598;1;04.Jan.2022
455.5;0.84582;1;04.Jan.2022
456.0;0.86374;1;04.Jan.2022
456.5;0.87984;1;04.Jan.2022
457.0;0.89425;1;04.Jan.2022
457.5;0.9071;1;04.Jan.2022
458.0;0.91853;1;04.Jan.2022
458.5;0.92866;1;04.Jan.2022
459.0;0.93763;1;04.Jan.2022
459.5;0.94554;1;04.Jan.2022
460.0;0.9525;1;04.Jan.2022
460.5;0.95862;1;04.Jan.2022
461.0;0.96398;1;04.Jan.2022
461.5;0.96869;1;04.Jan.2022
462.0;0.9728;1;04.Jan.2022
462.5;0.97639;1;04.Jan.2022
463.0;0.97952;1;04.Jan.2022
463.5;0.98225;1;04.Jan.2022
464.0;0.98462;1;04.Jan.2022
464.5;0.98669;1;04.Jan.2022
465.0;0.98848;1;04.Jan.2022
465.5;0.99004;1;04.Jan.2022
466.0;0.99139;1;04.Jan.2022
466.5;0.99256;1;04.Jan.2022
467.0;0.99358;1;04.Jan.2022
467.5;0.99446;1;04.Jan.2022
468.0;0.99522;1;04.Jan.2022
468.5;0.99587;1;04.Jan.2022
469.0;0.99644;1;04.Jan.2022
469.5;0.99693;1;04.Jan.2022
470.0;0.99735;1;04.Jan.2022
470.5;0.99772;1;04.Jan.2022
471.0;0.99804;1;04.Jan.2022
471.5;0.99831;1;04.Jan.2022
472.0;0.99854;1;04.Jan.2022
472.5;0.99875;1;04.Jan.2022
473.0;0.99892;1;04.Jan.2022
473.5;0.99907;1;04.Jan.2022
474.0;0.9992;1;04.Jan.2022
474.5;0.99931;1;04.Jan.2022
475.0;0.99941;1;04.Jan.2022
475.5;0.99949;1;04.Jan.2022
476.0;0.99956;1;04.Jan.2022
476.5;0.99962;1;04.Jan.2022
477.0;0.99968;1;04.Jan.2022
477.5;0.99972;1;04.Jan.2022
478.0;0.99976;1;04.Jan.2022
478.5;0.99979;1;04.Jan.2022
479.0;0.99982;1;04.Jan.2022
479.5;0.99985;1;04.Jan.2022
480.0;0.99987;1;04.Jan.2022
480.5;0.99989;1;04.Jan.2022
481.0;0.9999;1;04.Jan.2022
481.5;0.99992;1;04.Jan.2022
482.0;0.99993;1;04.Jan.2022
482.5;0.99994;1;04.Jan.2022
483.0;0.99995;1;04.Jan.2022
483.5;0.99995;1;04.Jan.2022
484.0;0.99996;1;04.Jan.2022
484.5;0.99997;1;04.Jan.2022
485.0;0.99997;1;04.Jan.2022
485.5;0.99998;1;04.Jan.2022
486.0;0.99998;1;04.Jan.2022
486.5;0.99998;1;04.Jan.2022
487.0;0.99998;1;04.Jan.2022
487.5;0.99999;1;04.Jan.2022
488.0;0.99999;1;04.Jan.2022
488.5;0.99999;1;04.Jan.2022
489.0;0.99999;1;04.Jan.2022
489.5;0.99999;1;04.Jan.2022
490.0;0.99999;1;04.Jan.2022
490.5;0.99999;1;04.Jan.2022
491.0;1.0;1;04.Jan.2022
491.5;1.0;1;04.Jan.2022
492.0;1.0;1;04.Jan.2022
492.5;1.0;1;04.Jan.2022
493.0;1.0;1;04.Jan.2022
493.5;1.0;1;04.Jan.2022
494.0;1.0;1;04.Jan.2022
