DEPTH;PRESSURE;TIME_INDEX;DATES
479.0;40.08864;0;01.Jan.2022
479.5;40.08987;0;01.Jan.2022
480.0;40.09111;0;01.Jan.2022
480.5;40.09235;0;01.Jan.2022
481.0;40.09359;0;01.Jan.2022
481.5;40.09483;0;01.Jan.2022
482.0;40.09607;0;01.Jan.2022
482.5;40.0973;0;01.Jan.2022
483.0;40.09854;0;01.Jan.2022
483.5;40.09978;0;01.Jan.2022
484.0;40.10101;0;01.Jan.2022
484.5;40.10225;0;01.Jan.2022
485.0;40.10349;0;01.Jan.2022
485.5;40.10473;0;01.Jan.2022
486.0;40.10596;0;01.Jan.2022
486.5;40.1072;0;01.Jan.2022
487.0;40.10844;0;01.Jan.2022
487.5;40.10968;0;01.Jan.2022
488.0;40.11092;0;01.Jan.2022
488.5;40.11215;0;01.Jan.2022
489.0;40.11339;0;01.Jan.2022
489.5;40.11463;0;01.Jan.2022
490.0;40.11587;0;01.Jan.2022
490.5;40.1171;0;01.Jan.2022
491.0;40.11834;0;01.Jan.2022
491.5;40.11958;0;01.Jan.2022
492.0;40.12082;0;01.Jan.2022
492.5;40.12206;0;01.Jan.2022
493.0;40.1233;0;01.Jan.2022
493.5;40.12454;0;01.Jan.2022
494.0;40.12578;0;01.Jan.2022
494.5;40.12702;0;01.Jan.2022
495.0;40.12826;0;01.Jan.2022
495.5;40.12951;0;01.Jan.2022
496.0;40.13075;0;01.Jan.2022
496.5;40.132;0;01.Jan.2022
497.0;40.13325;0;01.Jan.2022
497.5;40.1345;0;01.Jan.2022
498.0;40.13576;0;01.Jan.2022
498.5;40.13703;0;01.Jan.2022
499.0;40.1383;0;01.Jan.2022
499.5;40.13958;0;01.Jan.2022
400.0;39.99689;1;04.Jan.2022
400.5;39.99704;1;04.Jan.2022
401.0;39.99718;1;04.Jan.2022
401.5;39.99732;1;04.Jan.2022
402.0;39.99747;1;04.Jan.2022
402.5;39.99761;1;04.Jan.2022
403.0;39.99775;1;04.Jan.2022
403.5;39.9979;1;04.Jan.2022
404.0;39.99804;1;04.Jan.2022
404.5;39.99818;1;04.Jan.2022
405.0;39.99833;1;04.Jan.2022
405.5;39.99847;1;04.Jan.2022
406.0;39.99862;1;04.Jan.2022
406.5;39.99876;1;04.Jan.2022
407.0;39.99891;1;04.Jan.2022
407.5;39.99905;1;04.Jan.2022
408.0;39.9992;1;04.Jan.2022
408.5;39.99934;1;04.Jan.2022
409.0;39.99948;1;04.Jan.2022
409.5;39.99963;1;04.Jan.2022
410.0;39.99977;1;04.Jan.2022
410.5;39.99991;1;04.Jan.2022
411.0;40.00006;1;04.Jan.2022
411.5;40.0002;1;04.Jan.2022
412.0;40.00035;1;04.Jan.2022
412.5;40.00049;1;04.Jan.2022
413.0;40.00063;1;04.Jan.2022
413.5;40.00078;1;04.Jan.2022
414.0;40.00092;1;04.Jan.2022
414.5;40.00106;1;04.Jan.2022
415.0;40.00121;1;04.Jan.2022
415.5;40.00135;1;04.Jan.2022
416.0;40.0015;1;04.Jan.2022
416.5;40.00164;1;04.Jan.2022
417.0;40.00179;1;04.Jan.2022
417.5;40.00193;1;04.Jan.2022
418.0;40.00208;1;04.Jan.2022
418.5;40.00222;1;04.Jan.2022
419.0;40.00236;1;04.Jan.2022
419.5;40.00251;1;04.Jan.2022
420.0;40.00265;1;04.Jan.2022
420.5;40.0028;1;04.Jan.2022
421.0;40.00294;1;04.Jan.2022
421.5;40.00308;1;04.Jan.2022
422.0;40.00323;1;04.Jan.2022
422.5;40.00337;1;04.Jan.2022
423.0;40.00352;1;04.Jan.2022
423.5;40.00366;1;04.Jan.2022
424.0;40.00381;1;04.Jan.2022
424.5;40.00395;1;04.Jan.2022
425.0;40.0041;1;04.Jan.2022
425.5;40.00424;1;04.Jan.2022
426.0;40.00439;1;04.Jan.2022
426.5;40.00454;1;04.Jan.2022
427.0;40.00468;1;04.Jan.2022
427.5;40.00483;1;04.Jan.2022
428.0;40.00497;1;04.Jan.2022
428.5;40.00512;1;04.Jan.2022
429.0;40.00527;1;04.Jan.2022
429.5;40.00542;1;04.Jan.2022
430.0;40.00557;1;04.Jan.2022
430.5;40.00572;1;04.Jan.2022
431.0;40.00587;1;04.Jan.2022
431.5;40.00603;1;04.Jan.2022
432.0;40.00618;1;04.Jan.2022
432.5;40.00634;1;04.Jan.2022
433.0;40.0065;1;04.Jan.2022
433.5;40.00666;1;04.Jan.2022
434.0;40.00682;1;04.Jan.2022
434.5;40.00699;1;04.Jan.2022
435.0;40.00716;1;04.Jan.2022
435.5;40.00734;1;04.Jan.2022
436.0;40.00751;1;04.Jan.2022
436.5;40.0077;1;04.Jan.2022
437.0;40.00789;1;04.Jan.2022
437.5;40.00809;1;04.Jan.2022
438.0;40.00829;1;04.Jan.2022
438.5;40.00851;1;04.Jan.2022
439.0;40.00873;1;04.Jan.2022
439.5;40.00896;1;04.Jan.2022
440.0;40.00921;1;04.Jan.2022
440.5;40.00948;1;04.Jan.2022
441.0;40.00975;1;04.Jan.2022
441.5;40.01005;1;04.Jan.2022
442.0;40.01037;1;04.Jan.2022
442.5;40.01071;1;04.Jan.2022
443.0;40.01107;1;04.Jan.2022
443.5;40.01146;1;04.Jan.2022
444.0;40.01188;1;04.Jan.2022
444.5;40.01233;1;04.Jan.2022
445.0;40.01281;1;04.Jan.2022
445.5;40.01332;1;04.Jan.2022
446.0;40.01388;1;04.Jan.2022
446.5;40.01448;1;04.Jan.2022
447.0;40.01512;1;04.Jan.2022
447.5;40.0158;1;04.Jan.2022
448.0;40.01652;1;04.Jan.2022
448.5;40.01729;1;04.Jan.2022
449.0;40.0181;1;04.Jan.2022
449.5;40.01895;1;04.Jan.2022
450.0;40.01984;1;04.Jan.2022
450.5;40.02077;1;04.Jan.2022
451.0;40.02173;1;04.Jan.2022
451.5;40.02273;1;04.Jan.2022
452.0;40.02376;1;04.Jan.2022
452.5;40.02482;1;04.Jan.2022
453.0;40.0259;1;04.Jan.2022
453.5;40.027;1;04.Jan.2022
454.0;40.02813;1;04.Jan.2022
454.5;40.02928;1;04.Jan.2022
455.0;40.03045;1;04.Jan.2022
