DEPTH;GAS_DEN;TIME_INDEX;DATES
479.0;26.41194;0;01.Jan.2022
479.5;26.41274;0;01.Jan.2022
480.0;26.41354;0;01.Jan.2022
480.5;26.41434;0;01.Jan.2022
481.0;26.41513;0;01.Jan.2022
481.5;26.41593;0;01.Jan.2022
482.0;26.41673;0;01.Jan.2022
482.5;26.41752;0;01.Jan.2022
483.0;26.41832;0;01.Jan.2022
483.5;26.41912;0;01.Jan.2022
484.0;26.41992;0;01.Jan.2022
484.5;26.42071;0;01.Jan.2022
485.0;26.42151;0;01.Jan.2022
485.5;26.42231;0;01.Jan.2022
486.0;26.42311;0;01.Jan.2022
486.5;26.4239;0;01.Jan.2022
487.0;26.4247;0;01.Jan.2022
487.5;26.4255;0;01.Jan.2022
488.0;26.4263;0;01.Jan.2022
488.5;26.42709;0;01.Jan.2022
489.0;26.42789;0;01.Jan.2022
489.5;26.42869;0;01.Jan.2022
490.0;26.42949;0;01.Jan.2022
490.5;26.43028;0;01.Jan.2022
491.0;26.43108;0;01.Jan.2022
491.5;26.43188;0;01.Jan.2022
492.0;26.43268;0;01.Jan.2022
492.5;26.43348;0;01.Jan.2022
493.0;26.43427;0;01.Jan.2022
493.5;26.43507;0;01.Jan.2022
494.0;26.43587;0;01.Jan.2022
494.5;26.43667;0;01.Jan.2022
495.0;26.43747;0;01.Jan.2022
495.5;26.43827;0;01.Jan.2022
496.0;26.43907;0;01.Jan.2022
496.5;26.43988;0;01.Jan.2022
497.0;26.44068;0;01.Jan.2022
497.5;26.44149;0;01.Jan.2022
498.0;26.4423;0;01.Jan.2022
498.5;26.44312;0;01.Jan.2022
499.0;26.44394;0;01.Jan.2022
499.5;26.44476;0;01.Jan.2022
400.0;2.93505;1;04.Jan.2022
400.5;2.93506;1;04.Jan.2022
401.0;2.93507;1;04.Jan.2022
401.5;2.93509;1;04.Jan.2022
402.0;2.9351;1;04.Jan.2022
402.5;2.93511;1;04.Jan.2022
403.0;2.93512;1;04.Jan.2022
403.5;2.93514;1;04.Jan.2022
404.0;2.93515;1;04.Jan.2022
404.5;2.93516;1;04.Jan.2022
405.0;2.93518;1;04.Jan.2022
405.5;2.9352;1;04.Jan.2022
406.0;2.93521;1;04.Jan.2022
406.5;2.93523;1;04.Jan.2022
407.0;2.93525;1;04.Jan.2022
407.5;2.93527;1;04.Jan.2022
408.0;2.9353;1;04.Jan.2022
408.5;2.93532;1;04.Jan.2022
409.0;2.93535;1;04.Jan.2022
409.5;2.93538;1;04.Jan.2022
410.0;2.93542;1;04.Jan.2022
410.5;2.93545;1;04.Jan.2022
411.0;2.9355;1;04.Jan.2022
411.5;2.93554;1;04.Jan.2022
412.0;2.9356;1;04.Jan.2022
412.5;2.93566;1;04.Jan.2022
413.0;2.93573;1;04.Jan.2022
413.5;2.93581;1;04.Jan.2022
414.0;2.9359;1;04.Jan.2022
414.5;2.93601;1;04.Jan.2022
415.0;2.93613;1;04.Jan.2022
415.5;2.93627;1;04.Jan.2022
416.0;2.93643;1;04.Jan.2022
416.5;2.93661;1;04.Jan.2022
417.0;2.93682;1;04.Jan.2022
417.5;2.93707;1;04.Jan.2022
418.0;2.93735;1;04.Jan.2022
418.5;2.93768;1;04.Jan.2022
419.0;2.93806;1;04.Jan.2022
419.5;2.9385;1;04.Jan.2022
420.0;2.93901;1;04.Jan.2022
420.5;2.93961;1;04.Jan.2022
421.0;2.9403;1;04.Jan.2022
421.5;2.9411;1;04.Jan.2022
422.0;2.94202;1;04.Jan.2022
422.5;2.9431;1;04.Jan.2022
423.0;2.94435;1;04.Jan.2022
423.5;2.9458;1;04.Jan.2022
424.0;2.94748;1;04.Jan.2022
424.5;2.94944;1;04.Jan.2022
425.0;2.95171;1;04.Jan.2022
425.5;2.95434;1;04.Jan.2022
426.0;2.95739;1;04.Jan.2022
426.5;2.96094;1;04.Jan.2022
427.0;2.96505;1;04.Jan.2022
427.5;2.96982;1;04.Jan.2022
428.0;2.97535;1;04.Jan.2022
428.5;2.98175;1;04.Jan.2022
429.0;2.98918;1;04.Jan.2022
429.5;2.99779;1;04.Jan.2022
430.0;3.00775;1;04.Jan.2022
430.5;3.01929;1;04.Jan.2022
431.0;3.03264;1;04.Jan.2022
431.5;3.04809;1;04.Jan.2022
432.0;3.06594;1;04.Jan.2022
432.5;3.08658;1;04.Jan.2022
433.0;3.11041;1;04.Jan.2022
433.5;3.13792;1;04.Jan.2022
434.0;3.16965;1;04.Jan.2022
434.5;3.20623;1;04.Jan.2022
435.0;3.24836;1;04.Jan.2022
435.5;3.29684;1;04.Jan.2022
436.0;3.3526;1;04.Jan.2022
436.5;3.41664;1;04.Jan.2022
437.0;3.49014;1;04.Jan.2022
437.5;3.57437;1;04.Jan.2022
438.0;3.67081;1;04.Jan.2022
438.5;3.78106;1;04.Jan.2022
439.0;3.90691;1;04.Jan.2022
439.5;4.05034;1;04.Jan.2022
440.0;4.21351;1;04.Jan.2022
440.5;4.39878;1;04.Jan.2022
441.0;4.60869;1;04.Jan.2022
441.5;4.84597;1;04.Jan.2022
442.0;5.11347;1;04.Jan.2022
442.5;5.4142;1;04.Jan.2022
443.0;5.75121;1;04.Jan.2022
443.5;6.12755;1;04.Jan.2022
444.0;6.54618;1;04.Jan.2022
444.5;7.00985;1;04.Jan.2022
445.0;7.52094;1;04.Jan.2022
445.5;8.0813;1;04.Jan.2022
446.0;8.69199;1;04.Jan.2022
446.5;9.3531;1;04.Jan.2022
447.0;10.06346;1;04.Jan.2022
447.5;10.8204;1;04.Jan.2022
448.0;11.61949;1;04.Jan.2022
448.5;12.45442;1;04.Jan.2022
449.0;13.31695;1;04.Jan.2022
449.5;14.1971;1;04.Jan.2022
450.0;15.08361;1;04.Jan.2022
450.5;15.96468;1;04.Jan.2022
451.0;16.82894;1;04.Jan.2022
451.5;17.66623;1;04.Jan.2022
452.0;18.46813;1;04.Jan.2022
452.5;19.22812;1;04.Jan.2022
453.0;19.94161;1;04.Jan.2022
453.5;20.60578;1;04.Jan.2022
454.0;21.21936;1;04.Jan.2022
454.5;21.78237;1;04.Jan.2022
455.0;22.29587;1;04.Jan.2022
455.5;22.76168;1;04.Jan.2022
456.0;23.18221;1;04.Jan.2022
456.5;23.56021;1;04.Jan.2022
457.0;23.89868;1;04.Jan.2022
457.5;24.2007;1;04.Jan.2022
458.0;24.46936;1;04.Jan.2022
458.5;24.70768;1;04.Jan.2022
459.0;24.91855;1;04.Jan.2022
459.5;25.10471;1;04.Jan.2022
460.0;25.26872;1;04.Jan.2022
460.5;25.41296;1;04.Jan.2022
461.0;25.53959;1;04.Jan.2022
461.5;25.6506;1;04.Jan.2022
462.0;25.74779;1;04.Jan.2022
462.5;25.83278;1;04.Jan.2022
463.0;25.90703;1;04.Jan.2022
463.5;25.97183;1;04.Jan.2022
464.0;26.02834;1;04.Jan.2022
