M:\Spring_2022\H2_Project\Case_3_Final\H2_H2O_Case3_noPC_final_v13_volmodifier.sr3
Time (day);{15, 1, 26}-Gas Saturation;{15, 1, 1}-Gas Saturation
6.291667;6.23815E-07;6.119E-07
6.333333;6.23312E-07;6.11389E-07
6.375;6.22801E-07;6.10869E-07
6.416667;6.22282E-07;6.10342E-07
6.458333;6.21754E-07;6.09806E-07
6.5;6.21219E-07;6.09262E-07
6.541667;6.20677E-07;6.08711E-07
6.583333;6.20128E-07;6.08153E-07
6.625;6.19572E-07;6.07588E-07
6.666667;6.1901E-07;6.07017E-07
6.708333;6.18443E-07;6.06441E-07
6.75;6.1787E-07;6.05859E-07
6.791667;6.17293E-07;6.05273E-07
6.833333;6.16711E-07;6.04682E-07
6.875;6.16126E-07;6.04088E-07
6.916667;6.15538E-07;6.0349E-07
6.958333;6.14947E-07;6.0289E-07
7;6.14355E-07;6.02289E-07
7.041667;6.13763E-07;6.01687E-07
7.083333;6.1317E-07;6.01085E-07
7.125;6.12577E-07;6.00483E-07
7.166667;6.11985E-07;5.99882E-07
7.208333;6.11393E-07;5.99282E-07
7.25;6.10804E-07;5.98683E-07
7.291667;6.10217E-07;5.98087E-07
7.333333;6.09632E-07;5.97493E-07
7.375;6.09049E-07;5.96902E-07
7.416667;6.0847E-07;5.96314E-07
7.458333;6.07894E-07;5.95729E-07
7.5;6.07322E-07;5.95149E-07
7.541667;6.06757E-07;5.94576E-07
7.583333;6.06198E-07;5.94009E-07
7.625;6.05648E-07;5.93451E-07
7.666667;6.05107E-07;5.92902E-07
7.708333;6.04576E-07;5.92363E-07
7.75;6.04055E-07;5.91834E-07
7.791667;6.03545E-07;5.91317E-07
7.833333;6.03045E-07;5.9081E-07
7.875;6.02557E-07;5.90315E-07
7.916667;6.0208E-07;5.89831E-07
7.958333;6.01615E-07;5.89358E-07
8;6.0116E-07;5.88898E-07
8.041667;6.00717E-07;5.88449E-07
8.083333;6.00286E-07;5.88011E-07
8.125;5.99866E-07;5.87585E-07
8.166667;5.99456E-07;5.87169E-07
8.208333;5.99057E-07;5.86765E-07
8.25;5.98668E-07;5.8637E-07
8.291667;5.98289E-07;5.85986E-07
8.333333;5.9792E-07;5.85611E-07
8.375;5.9756E-07;5.85246E-07
8.416667;5.97209E-07;5.8489E-07
8.458333;5.96866E-07;5.84543E-07
8.5;5.96532E-07;5.84204E-07
8.541667;5.96206E-07;5.83874E-07
8.583333;5.95887E-07;5.83551E-07
8.625;5.95576E-07;5.83235E-07
8.666667;5.95271E-07;5.82926E-07
8.708333;5.94973E-07;5.82624E-07
8.75;5.94681E-07;5.82328E-07
8.791667;5.94395E-07;5.82038E-07
8.833333;5.94115E-07;5.81754E-07
8.875;5.9384E-07;5.81475E-07
8.916667;5.93571E-07;5.81203E-07
8.958333;5.93307E-07;5.80935E-07
9;5.93047E-07;5.80672E-07
9.041667;5.92792E-07;5.80413E-07
9.083333;5.9254E-07;5.80158E-07
9.125;5.92292E-07;5.79906E-07
9.166667;5.92047E-07;5.79658E-07
9.208333;5.91804E-07;5.79412E-07
9.25;5.91563E-07;5.79168E-07
9.291667;5.91325E-07;5.78926E-07
9.333333;5.91089E-07;5.78687E-07
9.375;5.90855E-07;5.7845E-07
9.416667;5.90623E-07;5.78215E-07
9.458333;5.90392E-07;5.77981E-07
9.5;5.90162E-07;5.77748E-07
9.541667;5.89931E-07;5.77514E-07
9.583333;5.897E-07;5.7728E-07
9.625;5.89469E-07;5.77046E-07
9.666667;5.89236E-07;5.7681E-07
9.708333;5.89002E-07;5.76573E-07
9.75;5.88765E-07;5.76333E-07
9.791667;5.88526E-07;5.76091E-07
9.833333;5.88284E-07;5.75846E-07
9.875;5.88039E-07;5.75598E-07
