Distance (m);450 m,Pressure,2022-Jan-01,Case_2_revised_Final_v8.sr3 (kPa);450 m,Pressure,2022-Jan-04,Case_2_revised_Final_v8.sr3 (kPa);450 m,Pressure,2022-Jan-31,Case_2_revised_Final_v8.sr3 (kPa);450 m,Pressure,2023-Jan-01,Case_2_revised_Final_v8.sr3 (kPa);450 m,Pressure,2027-Jan-01,Case_2_revised_Final_v8.sr3 (kPa)
39;4012.563965;4011.699707;4014.306885;4014.655518;4014.810059
39.5;4012.563965;4011.697266;4014.301758;4014.655518;4014.810059
40;4012.563965;4011.69458;4014.296631;4014.655273;4014.810059
40.5;4012.563965;4011.692139;4014.291504;4014.655273;4014.810059
41;4012.563965;4011.689209;4014.286621;4014.655273;4014.810059
41.5;4012.563965;4011.686523;4014.281982;4014.655273;4014.810059
42;4012.563965;4011.683594;4014.2771;4014.655029;4014.810059
42.5;4012.563965;4011.68042;4014.272705;4014.655029;4014.810059
43;4012.563965;4011.677246;4014.268066;4014.655029;4014.810059
43.5;4012.563965;4011.673828;4014.263916;4014.655029;4014.810059
44;4012.563965;4011.67041;4014.259522;4014.654785;4014.810059
44.5;4012.563965;4011.666748;4014.255615;4014.654785;4014.810059
45;4012.563965;4011.662842;4014.251709;4014.654785;4014.810059
45.5;4012.563965;4011.65918;4014.247803;4014.654785;4014.810059
46;4012.563965;4011.655029;4014.244141;4014.654541;4014.810059
46.5;4012.563965;4011.651123;4014.240723;4014.654541;4014.810059
47;4012.563965;4011.646973;4014.237305;4014.654541;4014.810059
47.5;4012.563965;4011.642822;4014.234131;4014.654541;4014.810059
48;4012.563965;4011.638672;4014.230957;4014.654297;4014.810059
48.5;4012.563965;4011.634522;4014.228027;4014.654297;4014.810059
49;4012.563965;4011.630371;4014.225342;4014.654297;4014.810059
49.5;4012.563965;4011.626465;4014.222656;4014.654297;4014.810059
50;4001.451904;4011.622559;4014.219971;4014.654053;4014.810059
50.5;4001.451904;4011.618652;4014.217773;4014.654053;4014.810059
51;4001.451904;4011.615234;4014.215576;4014.654053;4014.810059
51.5;4001.451904;4011.611816;4014.213379;4014.654053;4014.810059
52;4001.451904;4011.608643;4014.211426;4014.654053;4014.810059
52.5;4001.451904;4011.605713;4014.209717;4014.654053;4014.810059
53;4001.451904;4011.603027;4014.208252;4014.653809;4014.810059
53.5;4001.451904;4011.600342;4014.206787;4014.653809;4014.810059
54;4001.451904;4011.598145;4014.205566;4014.653809;4014.810059
54.5;4001.451904;4011.596191;4014.204346;4014.653809;4014.810059
55;4001.451904;4011.594238;4014.203369;4014.653809;4014.810059
55.5;4001.451904;4011.592773;4014.202637;4014.653809;4014.810059
56;4001.451904;4011.591309;4014.201904;4014.653809;4014.810059
56.5;4001.451904;4011.590088;4014.201416;4014.653565;4014.810059
57;4001.451904;4011.588867;4014.201172;4014.653565;4014.810059
57.5;4001.451904;4011.588135;4014.200928;4014.653565;4014.810059
58;4001.451904;4011.587158;4014.200928;4014.653565;4014.810059
58.5;4001.451904;4011.58667;4014.201172;4014.653565;4014.810059
59;4001.451904;4011.585938;4014.201416;4014.653565;4014.810059
59.5;4001.451904;4011.585693;4014.201904;4014.653565;4014.810059
60;4001.451904;4011.585205;4014.202393;4014.653565;4014.810059
60.5;4001.451904;4011.584961;4014.203125;4014.65332;4014.810059
61;4001.451904;4011.584717;4014.203857;4014.65332;4014.810059
61.5;4001.451904;4011.584717;4014.204834;4014.65332;4014.810059
62;4001.451904;4011.584473;4014.206055;4014.65332;4014.810059
62.5;4001.451904;4011.584473;4014.207275;4014.65332;4014.810059
63;4001.451904;4011.584473;4014.20874;4014.65332;4014.810059
63.5;4001.451904;4011.584473;4014.210205;4014.65332;4014.810059
64;4001.451904;4011.584473;4014.21167;4014.65332;4014.810059
64.5;4001.451904;4011.584473;4014.213379;4014.65332;4014.810059
65;4001.451904;4011.584717;4014.215332;4014.653076;4014.810059
65.5;4001.451904;4011.584717;4014.217285;4014.653076;4014.810059
66;4001.451904;4011.584961;4014.219238;4014.653076;4014.810059
66.5;4001.451904;4011.584961;4014.221436;4014.653076;4014.810059
67;4001.451904;4011.584961;4014.223633;4014.653076;4014.810059
67.5;4001.451904;4011.585205;4014.22583;4014.653076;4014.810059
68;4001.451904;4011.585205;4014.228272;4014.653076;4014.810059
68.5;4001.451904;4011.585449;4014.230957;4014.653076;4014.810059
69;4001.451904;4011.585449;4014.233398;4014.653076;4014.810059
69.5;4001.451904;4011.585693;4014.236084;4014.653076;4014.810059
70;4001.451904;4011.585693;4014.23877;4014.652832;4014.810059
70.5;4001.451904;4011.585938;4014.241455;4014.652832;4014.810059
71;4001.451904;4011.585938;4014.244385;4014.652832;4014.810059
71.5;4001.451904;4011.586182;4014.247315;4014.652832;4014.810059
72;4001.451904;4011.586182;4014.250244;4014.652832;4014.810059
72.5;4001.451904;4011.586182;4014.253174;4014.652832;4014.810059
73;4001.451904;4011.586426;4014.256348;4014.652832;4014.810059
73.5;4001.451904;4011.586426;4014.259277;4014.652832;4014.810059
74;4001.451904;4011.586426;4014.262451;4014.652832;4014.810059
74.5;4001.451904;4011.58667;4014.265625;4014.652832;4014.810059
75;4001.451904;4011.58667;4014.268555;4014.652832;4014.810059
75.5;4001.451904;4011.58667;4014.271729;4014.652832;4014.810059
76;4001.451904;4011.586914;4014.274902;4014.652832;4014.810059
76.5;4001.451904;4011.586914;4014.278076;4014.652832;4014.810059
77;4001.451904;4011.586914;4014.281006;4014.652832;4014.810059
77.5;4001.451904;4011.587158;4014.28418;4014.652832;4014.810059
78;4001.451904;4011.587158;4014.287354;4014.652832;4014.810059
78.5;4001.451904;4011.587158;4014.290527;4014.652832;4014.810059
79;4001.451904;4011.587158;4014.293457;4014.652832;4014.810059
79.5;4001.451904;4011.587158;4014.296631;4014.652832;4014.810059
80;4001.451904;4011.587402;4014.299561;4014.652832;4014.810059
80.5;4001.451904;4011.587402;4014.302734;4014.652832;4014.810059
81;4001.451904;4011.587402;4014.305664;4014.652832;4014.810059
81.5;4001.451904;4011.587402;4014.308594;4014.652832;4014.810059
82;4001.451904;4011.587402;4014.311768;4014.652832;4014.810059
82.5;4001.451904;4011.587402;4014.314697;4014.652832;4014.810059
83;4001.451904;4011.587647;4014.317383;4014.652832;4014.810059
83.5;4001.451904;4011.587647;4014.320313;4014.652832;4014.810059
84;4001.451904;4011.587647;4014.322998;4014.652832;4014.810059
84.5;4001.451904;4011.587647;4014.325684;4014.652832;4014.810059
85;4001.451904;4011.587647;4014.328369;4014.652832;4014.810059
85.5;4001.451904;4011.587647;4014.331055;4014.652832;4014.810059
86;4001.451904;4011.587647;4014.33374;4014.652832;4014.810059
86.5;4001.451904;4011.587647;4014.336182;4014.652832;4014.810059
87;4001.451904;4011.587647;4014.338623;4014.652832;4014.810059
87.5;4001.451904;4011.587647;4014.34082;4014.652832;4014.810059
88;4001.451904;4011.587647;4014.343262;4014.652832;4014.810059
88.5;4001.451904;4011.587647;4014.345459;4014.652832;4014.810059
89;4001.451904;4011.587647;4014.347656;4014.652832;4014.810059
89.5;4001.451904;4011.587647;4014.349609;4014.652832;4014.810059
90;4001.451904;4011.587647;4014.351563;4014.652832;4014.810059
90.5;4001.451904;4011.587647;4014.353516;4014.652832;4014.810059
91;4001.451904;4011.587647;4014.355225;4014.652832;4014.810059
91.5;4001.451904;4011.587647;4014.356934;4014.652832;4014.810059
92;4001.451904;4011.587647;4014.358643;4014.652832;4014.810059
92.5;4001.451904;4011.587647;4014.360107;4014.652832;4014.810059
93;4001.451904;4011.587647;4014.361572;4014.652832;4014.810059
93.5;4001.451904;4011.587647;4014.362793;4014.652832;4014.810059
94;4001.451904;4011.587647;4014.364014;4014.652832;4014.810059
94.5;4001.451904;4011.587647;4014.365234;4014.652832;4014.810059
95;4001.451904;4011.587647;4014.366211;4014.652832;4014.810059
95.5;4001.451904;4011.587647;4014.367188;4014.652832;4014.810059
96;4001.451904;4011.587647;4014.36792;4014.653076;4014.810059
96.5;4001.451904;4011.587647;4014.368652;4014.653076;4014.810059
97;4001.451904;4011.587647;4014.369385;4014.653076;4014.810059
97.5;4001.451904;4011.587647;4014.369873;4014.653076;4014.810059
98;4001.451904;4011.587647;4014.370117;4014.653076;4014.810059
98.5;4001.451904;4011.587647;4014.370606;4014.653076;4014.810059
99;4001.451904;4011.587647;4014.370606;4014.653076;4014.810059
99.5;4001.451904;4011.587647;4014.37085;4014.653076;4014.810059
