Distance (m);450 m,Global Mole Fraction(H2),2022-Jan-01,Case_2_revised_Final_v8.sr3;450 m,Global Mole Fraction(H2),2022-Jan-04,Case_2_revised_Final_v8.sr3;450 m,Global Mole Fraction(H2),2022-Jan-31,Case_2_revised_Final_v8.sr3;450 m,Global Mole Fraction(H2),2023-Jan-01,Case_2_revised_Final_v8.sr3;450 m,Global Mole Fraction(H2),2027-Jan-01,Case_2_revised_Final_v8.sr3
60.5;1;0.947068095;0.670587361;0.486544251;0.479019672
61;1;0.95436424;0.679338813;0.486902088;0.479020923
61.5;1;0.960740626;0.687989533;0.487257808;0.479022145
62;1;0.966295779;0.696535587;0.487611413;0.479023367
62.5;1;0.971121252;0.704972982;0.487962753;0.479024589
63;1;0.975301385;0.713298261;0.488311768;0.479025781
63.5;1;0.978913069;0.721507609;0.488658398;0.479026973
64;1;0.9820261;0.729597986;0.489002585;0.479028165
64.5;1;0.984703243;0.737566054;0.489344269;0.479029357
65;1;0.987000644;0.745409071;0.48968333;0.47903052
65.5;1;0.988968313;0.753124118;0.490019768;0.479031682
66;1;0.990650296;0.760708869;0.490353435;0.479032844
66.5;1;0.992085695;0.76816076;0.49068433;0.479033977
67;1;0.993308485;0.775478005;0.491012305;0.479035109
67.5;1;0.994348645;0.782658458;0.49133727;0.479036242
68;1;0.995232105;0.789700568;0.491659105;0.479037344
68.5;1;0.995981455;0.796602666;0.491977781;0.479038447
69;1;0.996616244;0.803363621;0.492293149;0.47903955
69.5;1;0.997153282;0.809982121;0.49260515;0.479040623
70;1;0.997607112;0.81645757;0.492913723;0.479041696
70.5;1;0.997990191;0.822789013;0.49321878;0.479042739
71;1;0.998313248;0.828976035;0.49352023;0.479043782
71.5;1;0.998585403;0.835018098;0.493818045;0.479044825
72;1;0.998814464;0.840915143;0.494112134;0.479045838
72.5;1;0.999007046;0.846667051;0.494402409;0.479046822
73;1;0.999168932;0.852274001;0.494688779;0.479047835
73.5;1;0.999304771;0.85773623;0.494971275;0.479048818
74;1;0.999418736;0.863054335;0.495249748;0.479049772
74.5;1;0.999514282;0.868228853;0.495524138;0.479050696
75;1;0.999594331;0.873260736;0.495794356;0.47905162
75.5;1;0.999661326;0.87815094;0.496060371;0.479052484
76;1;0.999717414;0.882900596;0.496322066;0.479053348
76.5;1;0.999764323;0.887511075;0.496579409;0.479054213
77;1;0.999803483;0.89198339;0.496832341;0.479055017
77.5;1;0.999836266;0.896319211;0.497080803;0.479055822
78;1;0.999863565;0.900519788;0.497324735;0.479056627
78.5;1;0.999886394;0.904586852;0.497564018;0.479057401
79;1;0.999905467;0.908521831;0.497798622;0.479058146
79.5;1;0.999921322;0.912326515;0.498028487;0.479058892
80;1;0.999934554;0.916002631;0.498253554;0.479059607
80.5;1;0.999945581;0.919552088;0.498473763;0.479060322
81;1;0.9999547;0.922976613;0.498689055;0.479061008
81.5;1;0.999962389;0.926278293;0.49889937;0.479061693
82;1;0.999968708;0.929458737;0.499104679;0.479062349
82.5;1;0.999974012;0.93252033;0.49930492;0.479062974
83;1;0.999978364;0.935464859;0.499500066;0.4790636
83.5;1;0.999982059;0.93829459;0.499690086;0.479064226
84;1;0.999985099;0.941011429;0.499874949;0.479064792
84.5;1;0.999987602;0.943617642;0.500054598;0.479065388
85;1;0.999989688;0.946115017;0.500229001;0.479065925
85.5;1;0.999991477;0.948505938;0.50039804;0.479066461
86;1;0.999992907;0.950792193;0.500561774;0.479066998
86.5;1;0.999994159;0.952976048;0.500720024;0.479067504
