TOPS        PRESSURE   Group Index   Group Description     
454.50000   40.02687   0             01.Jan 2022 - 00:00:08
455.00000   40.02813   0             01.Jan 2022 - 00:00:08
455.50000   40.02939   0             01.Jan 2022 - 00:00:08
456.00000   40.03065   0             01.Jan 2022 - 00:00:08
456.50000   40.03193   0             01.Jan 2022 - 00:00:08
457.00000   40.03321   0             01.Jan 2022 - 00:00:08
457.50000   40.03449   0             01.Jan 2022 - 00:00:08
458.00000   40.03578   0             01.Jan 2022 - 00:00:08
458.50000   40.03706   0             01.Jan 2022 - 00:00:08
459.00000   40.03835   0             01.Jan 2022 - 00:00:08
459.50000   40.03964   0             01.Jan 2022 - 00:00:08
460.00000   40.04093   0             01.Jan 2022 - 00:00:08
460.50000   40.04222   0             01.Jan 2022 - 00:00:08
461.00000   40.04352   0             01.Jan 2022 - 00:00:08
461.50000   40.04481   0             01.Jan 2022 - 00:00:08
462.00000   40.04610   0             01.Jan 2022 - 00:00:08
462.50000   40.04739   0             01.Jan 2022 - 00:00:08
463.00000   40.04869   0             01.Jan 2022 - 00:00:08
463.50000   40.04998   0             01.Jan 2022 - 00:00:08
464.00000   40.05127   0             01.Jan 2022 - 00:00:08
464.50000   40.05257   0             01.Jan 2022 - 00:00:08
465.00000   40.05386   0             01.Jan 2022 - 00:00:08
465.50000   40.05516   0             01.Jan 2022 - 00:00:08
466.00000   40.05645   0             01.Jan 2022 - 00:00:08
466.50000   40.05774   0             01.Jan 2022 - 00:00:08
467.00000   40.05904   0             01.Jan 2022 - 00:00:08
467.50000   40.06033   0             01.Jan 2022 - 00:00:08
468.00000   40.06163   0             01.Jan 2022 - 00:00:08
468.50000   40.06292   0             01.Jan 2022 - 00:00:08
469.00000   40.06421   0             01.Jan 2022 - 00:00:08
469.50000   40.06551   0             01.Jan 2022 - 00:00:08
470.00000   40.06680   0             01.Jan 2022 - 00:00:08
470.50000   40.06810   0             01.Jan 2022 - 00:00:08
471.00000   40.06939   0             01.Jan 2022 - 00:00:08
471.50000   40.07069   0             01.Jan 2022 - 00:00:08
472.00000   40.07198   0             01.Jan 2022 - 00:00:08
472.50000   40.07328   0             01.Jan 2022 - 00:00:08
473.00000   40.07457   0             01.Jan 2022 - 00:00:08
473.50000   40.07586   0             01.Jan 2022 - 00:00:08
474.00000   40.07716   0             01.Jan 2022 - 00:00:08
474.50000   40.07845   0             01.Jan 2022 - 00:00:08
475.00000   40.07975   0             01.Jan 2022 - 00:00:08
475.50000   40.08104   0             01.Jan 2022 - 00:00:08
476.00000   40.08234   0             01.Jan 2022 - 00:00:08
476.50000   40.08363   0             01.Jan 2022 - 00:00:08
477.00000   40.08493   0             01.Jan 2022 - 00:00:08
477.50000   40.08622   0             01.Jan 2022 - 00:00:08
478.00000   40.08752   0             01.Jan 2022 - 00:00:08
478.50000   40.08881   0             01.Jan 2022 - 00:00:08
479.00000   40.09011   0             01.Jan 2022 - 00:00:08
479.50000   40.09140   0             01.Jan 2022 - 00:00:08
480.00000   40.09270   0             01.Jan 2022 - 00:00:08
