TOPS        GAS_DEN    Group Index   Group Description     
454.50000   26.37215   0             01.Jan 2022 - 00:00:08
455.00000   26.37296   0             01.Jan 2022 - 00:00:08
455.50000   26.37377   0             01.Jan 2022 - 00:00:08
456.00000   26.37459   0             01.Jan 2022 - 00:00:08
456.50000   26.37541   0             01.Jan 2022 - 00:00:08
457.00000   26.37623   0             01.Jan 2022 - 00:00:08
457.50000   26.37706   0             01.Jan 2022 - 00:00:08
458.00000   26.37789   0             01.Jan 2022 - 00:00:08
458.50000   26.37872   0             01.Jan 2022 - 00:00:08
459.00000   26.37955   0             01.Jan 2022 - 00:00:08
459.50000   26.38038   0             01.Jan 2022 - 00:00:08
460.00000   26.38121   0             01.Jan 2022 - 00:00:08
460.50000   26.38204   0             01.Jan 2022 - 00:00:08
461.00000   26.38287   0             01.Jan 2022 - 00:00:08
461.50000   26.38371   0             01.Jan 2022 - 00:00:08
462.00000   26.38454   0             01.Jan 2022 - 00:00:08
462.50000   26.38537   0             01.Jan 2022 - 00:00:08
463.00000   26.38621   0             01.Jan 2022 - 00:00:08
463.50000   26.38704   0             01.Jan 2022 - 00:00:08
464.00000   26.38787   0             01.Jan 2022 - 00:00:08
464.50000   26.38870   0             01.Jan 2022 - 00:00:08
465.00000   26.38954   0             01.Jan 2022 - 00:00:08
465.50000   26.39037   0             01.Jan 2022 - 00:00:08
466.00000   26.39121   0             01.Jan 2022 - 00:00:08
466.50000   26.39204   0             01.Jan 2022 - 00:00:08
467.00000   26.39287   0             01.Jan 2022 - 00:00:08
467.50000   26.39371   0             01.Jan 2022 - 00:00:08
468.00000   26.39454   0             01.Jan 2022 - 00:00:08
468.50000   26.39537   0             01.Jan 2022 - 00:00:08
469.00000   26.39621   0             01.Jan 2022 - 00:00:08
469.50000   26.39704   0             01.Jan 2022 - 00:00:08
470.00000   26.39788   0             01.Jan 2022 - 00:00:08
470.50000   26.39871   0             01.Jan 2022 - 00:00:08
471.00000   26.39954   0             01.Jan 2022 - 00:00:08
471.50000   26.40038   0             01.Jan 2022 - 00:00:08
472.00000   26.40121   0             01.Jan 2022 - 00:00:08
472.50000   26.40205   0             01.Jan 2022 - 00:00:08
473.00000   26.40288   0             01.Jan 2022 - 00:00:08
473.50000   26.40372   0             01.Jan 2022 - 00:00:08
474.00000   26.40455   0             01.Jan 2022 - 00:00:08
474.50000   26.40538   0             01.Jan 2022 - 00:00:08
475.00000   26.40622   0             01.Jan 2022 - 00:00:08
475.50000   26.40705   0             01.Jan 2022 - 00:00:08
476.00000   26.40788   0             01.Jan 2022 - 00:00:08
476.50000   26.40872   0             01.Jan 2022 - 00:00:08
477.00000   26.40955   0             01.Jan 2022 - 00:00:08
477.50000   26.41039   0             01.Jan 2022 - 00:00:08
478.00000   26.41122   0             01.Jan 2022 - 00:00:08
478.50000   26.41206   0             01.Jan 2022 - 00:00:08
479.00000   26.41289   0             01.Jan 2022 - 00:00:08
479.50000   26.41372   0             01.Jan 2022 - 00:00:08
480.00000   26.41456   0             01.Jan 2022 - 00:00:08
480.50000   26.41539   0             01.Jan 2022 - 00:00:08
481.00000   26.41623   0             01.Jan 2022 - 00:00:08
481.50000   26.41706   0             01.Jan 2022 - 00:00:08
482.00000   26.41790   0             01.Jan 2022 - 00:00:08
482.50000   26.41873   0             01.Jan 2022 - 00:00:08
483.00000   26.41957   0             01.Jan 2022 - 00:00:08
483.50000   26.42040   0             01.Jan 2022 - 00:00:08
484.00000   26.42124   0             01.Jan 2022 - 00:00:08
484.50000   26.42207   0             01.Jan 2022 - 00:00:08
485.00000   26.42290   0             01.Jan 2022 - 00:00:08
485.50000   26.42374   0             01.Jan 2022 - 00:00:08
486.00000   26.42457   0             01.Jan 2022 - 00:00:08
486.50000   26.42541   0             01.Jan 2022 - 00:00:08
487.00000   26.42624   0             01.Jan 2022 - 00:00:08
487.50000   26.42708   0             01.Jan 2022 - 00:00:08
488.00000   26.42791   0             01.Jan 2022 - 00:00:08
488.50000   26.42875   0             01.Jan 2022 - 00:00:08
489.00000   26.42958   0             01.Jan 2022 - 00:00:08
489.50000   26.43042   0             01.Jan 2022 - 00:00:08
490.00000   26.43125   0             01.Jan 2022 - 00:00:08
490.50000   26.43209   0             01.Jan 2022 - 00:00:08
491.00000   26.43292   0             01.Jan 2022 - 00:00:08
